"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.011376,0.005614,"ms/op",16
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.017538,0.002848,"ms/op",32
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.026161,0.001553,"ms/op",64
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.047443,0.002211,"ms/op",128
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.066994,0.006242,"ms/op",256
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.133678,0.011909,"ms/op",512
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.224046,0.024751,"ms/op",1024
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,0.511255,0.039813,"ms/op",2048
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,1.072380,0.109298,"ms/op",4096
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,2.084225,0.245636,"ms/op",8192
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,1.886588,0.409228,"ms/op",16384
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,2.545382,0.234661,"ms/op",32768
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,4.014763,0.209451,"ms/op",65536
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,4.078930,0.183964,"ms/op",73728
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,5.089413,0.355331,"ms/op",81920
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,5.908287,0.452083,"ms/op",90112
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,5.789694,0.348740,"ms/op",98304
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,5.783994,0.318646,"ms/op",114688
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortParallel","ss",1,160,5.832608,0.401198,"ms/op",131072
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.005255,0.002914,"ms/op",16
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.009708,0.001500,"ms/op",32
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.013839,0.002659,"ms/op",64
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.034376,0.003030,"ms/op",128
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.039704,0.001856,"ms/op",256
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.075488,0.002848,"ms/op",512
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.127119,0.008509,"ms/op",1024
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.237244,0.013441,"ms/op",2048
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,0.535242,0.024052,"ms/op",4096
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,1.090471,0.036509,"ms/op",8192
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,2.656474,0.131469,"ms/op",16384
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,6.487457,0.294555,"ms/op",32768
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,16.485396,0.534614,"ms/op",65536
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,19.745993,0.671721,"ms/op",73728
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,24.042986,0.790690,"ms/op",81920
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,25.039688,0.880803,"ms/op",90112
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,27.275631,1.253258,"ms/op",98304
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,28.772920,1.426751,"ms/op",114688
"benchmark.SearchResultsBenchmark.SearchResultsSortBenchmark_Optimum.sortSequential","ss",1,160,28.218457,1.060154,"ms/op",131072
