"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: max"
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,47.110459,0.668863,"ms/op",30
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,43.902200,0.418017,"ms/op",60
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,44.415282,0.297167,"ms/op",90
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,51.814486,0.946566,"ms/op",120
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,45.254504,0.166034,"ms/op",150
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,45.142787,0.871783,"ms/op",180
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,90.774032,2.056526,"ms/op",210
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,46.450493,0.644406,"ms/op",240
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,46.354318,0.615831,"ms/op",270
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,43.573736,0.194018,"ms/op",300
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,43.293025,0.646699,"ms/op",330
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,50.924488,0.397161,"ms/op",360
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,50.895616,1.251705,"ms/op",390
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,43.663218,0.507046,"ms/op",420
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,45.294767,1.478364,"ms/op",450
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,54.587932,1.733658,"ms/op",480
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,46.609041,1.312871,"ms/op",510
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,97.572842,4.448439,"ms/op",540
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,50.288107,1.472502,"ms/op",570
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.getNearestNode_townViewport","avgt",1,30,49.850740,1.345656,"ms/op",600
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.417239,0.187754,"ms/op",30
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.368917,0.100686,"ms/op",60
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.529041,0.287319,"ms/op",90
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.529327,0.180842,"ms/op",120
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.045191,0.075112,"ms/op",150
"benchmark.TreeBenchmark.TreeMaxBenchmark_FixedZoom.searchTownViewport","avgt",1,30,2.015502,0.098837,"ms/op",180
