"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: max","Param: zoom"
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,55.980307,1.800528,"ms/op",5,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,65.160701,37.229952,"ms/op",5,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,72.574448,2.434235,"ms/op",5,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,40.363777,3.970421,"ms/op",15,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,42.989325,8.202705,"ms/op",15,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,61.949130,0.426948,"ms/op",15,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,41.085738,2.599924,"ms/op",30,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,42.303327,0.376827,"ms/op",30,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,60.067620,0.451443,"ms/op",30,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,44.955430,1.503054,"ms/op",60,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,45.477376,0.619429,"ms/op",60,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,62.777192,1.811339,"ms/op",60,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,54.291470,7.566161,"ms/op",120,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,60.700201,5.383032,"ms/op",120,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,84.046163,7.388402,"ms/op",120,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,39.002178,2.869437,"ms/op",240,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,41.689246,0.897341,"ms/op",240,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_fullIslandViewport","avgt",1,5,59.475761,1.359075,"ms/op",240,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_halfIslandViewport","avgt",1,5,59.263054,5.304701,"ms/op",5,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_halfIslandViewport","avgt",1,5,60.412718,2.570127,"ms/op",5,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_halfIslandViewport","avgt",1,5,82.673233,9.526889,"ms/op",5,15.0
