"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: max","Param: zoom"
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,83.317196,8.842025,"ms/op",5,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,70.549023,4.746195,"ms/op",5,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,76.261349,8.988668,"ms/op",5,16.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,51.899425,0.869320,"ms/op",15,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,55.940777,5.816663,"ms/op",15,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,56.871960,1.572573,"ms/op",15,16.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,46.661961,1.095052,"ms/op",30,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,48.734802,1.866300,"ms/op",30,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,56.991005,2.424503,"ms/op",30,16.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,46.370985,2.826868,"ms/op",60,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,46.022158,1.199866,"ms/op",60,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,52.829214,0.436034,"ms/op",60,16.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,46.266296,1.900376,"ms/op",120,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,46.165710,2.009359,"ms/op",120,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,56.413007,4.277720,"ms/op",120,16.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,48.145029,1.259489,"ms/op",240,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,51.719792,4.199942,"ms/op",240,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,10,56.826412,2.321031,"ms/op",240,16.0
